Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]
2/28/2011 10:38:13,17 - 23 años,Lambayeque,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,"jQuery, jQuery UI, Prototype",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/28/2011 10:40:18,24 - 30 años,Lima,1 a 3 años,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,No conozco,1 año o menos,1 año o menos,1 a 3 años,No conozco,No conozco,1 año o menos,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"dojo, jQuery, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,Más de 6 años,Sí,No conozco,No conozco,Menos de 1 año
2/28/2011 10:40:50,17 - 23 años,Lambayeque,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,"jQuery, Prototype",Masculino,Windows,"Documentación en la web, En la universidad o instituto, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/28/2011 10:49:14,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,No conozco,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Femenino,Windows,"En la universidad o instituto, Cursos en línea",Menos de 1 año,No conozco,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/28/2011 10:54:20,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,No conozco,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, YUI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,Menos de 1 año,No conozco
2/28/2011 11:06:58,24 - 30 años,Lima,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Más de 6 años,,Más de 6 años,No,Menos de 1 año,Menos de 1 año,Menos de 1 año
2/28/2011 11:24:22,31 - 40 años,Lima,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,1 año o menos,No conozco,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, Prototype",Masculino,Linux,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,No,No conozco,Menos de 1 año,No conozco
2/28/2011 11:41:11,31 - 40 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,No conozco,,No conozco,No conozco,No conozco,No conozco,1 año o menos,No conozco,1 año o menos,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,,Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,No conozco,,No conozco,No,No conozco,No conozco,No conozco
2/28/2011 12:10:48,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,4 a 6 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,4 a 6 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/28/2011 12:11:05,24 - 30 años,Callao,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Cursos de educación continua (fuera de los planes de estudio superiores)",Menos de 1 año,Menos de 1 año,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,Menos de 1 año
2/28/2011 12:25:15,24 - 30 años,Cusco,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,4 a 6 años,1 año o menos,1 año o menos,1 año o menos,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, MooTools",Masculino,Windows,"Documentación en la web, Cursos en línea",Menos de 1 año,Menos de 1 año,1 a 3 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año
2/28/2011 12:53:51,31 - 40 años,Lima,Menos de 1 año,No conozco,No conozco,Más de 6 años,Menos de 1 año,,1 a 3 años,Más de 6 años,Menos de 1 año,Más de 6 años,4 a 6 años,1 a 3 años,No conozco,No conozco,No conozco,Más de 6 años,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI, script.aculo.us",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Más de 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/28/2011 13:37:48,24 - 30 años,Lima,No conozco,No conozco,No conozco,4 a 6 años,No conozco,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/28/2011 13:38:54,24 - 30 años,Arequipa,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,No conozco,1 año o menos,1 año o menos,No conozco,No conozco,No conozco,,De 9501 a 10500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, YUI",Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,4 a 6 años,,No conozco,No,4 a 6 años,4 a 6 años,No conozco
2/28/2011 13:43:38,24 - 30 años,Lima,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Maestría,Trabajo como dependiente,jQuery,Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,Menos de 1 año,,1 año o menos,Sí,Menos de 1 año,No conozco,No conozco
2/28/2011 14:07:21,17 - 23 años,Arequipa,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, En la universidad o instituto, Cursos en línea",Menos de 1 año,No conozco,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/28/2011 15:00:26,41 - 50 años,Lambayeque,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,No conozco,Más de 6 años,No conozco,No conozco,No conozco,,De 1501 a 2500,Maestría,Trabajo como dependiente,,Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,No conozco,,Más de 6 años,No,No conozco,No conozco,No conozco
2/28/2011 15:16:13,31 - 40 años,Lima,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,1 año o menos,4 a 6 años,No conozco,No conozco,No conozco,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",1 a 3 años,No conozco,Más de 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/28/2011 15:36:33,31 - 40 años,Amazonas,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,Menos de 1 año,Menos de 1 año,No conozco,4 a 6 años,No conozco,1 año o menos,1 año o menos,1 a 3 años,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Mac,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo, blogs, podcasts, videos",Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,Sí,4 a 6 años,1 a 3 años,No conozco
2/28/2011 15:47:57,24 - 30 años,Cusco,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,1 a 3 años,Más de 6 años,4 a 6 años,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,jQuery,Masculino,Linux,"Documentación en la web, En la universidad o instituto",Menos de 1 año,Menos de 1 año,1 a 3 años,,4 a 6 años,No,1 a 3 años,No conozco,Menos de 1 año
2/28/2011 15:53:49,24 - 30 años,Tacna,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Cursos en línea",Menos de 1 año,Menos de 1 año,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,Menos de 1 año
2/28/2011 15:55:48,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,1 año o menos,1 año o menos,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,4 a 6 años,Sí,1 a 3 años,No conozco,No conozco
2/28/2011 16:41:53,31 - 40 años,Arequipa,Menos de 1 año,Menos de 1 año,No conozco,No conozco,4 a 6 años,,Más de 6 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,"Seminarios web, Documentación en la web",No conozco,No conozco,1 a 3 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/28/2011 16:47:45,31 - 40 años,Lima,No conozco,Menos de 1 año,No conozco,4 a 6 años,4 a 6 años,,1 a 3 años,Más de 6 años,1 a 3 años,Más de 6 años,1 a 3 años,4 a 6 años,No conozco,1 año o menos,No conozco,1 año o menos,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/28/2011 16:47:49,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,4 a 6 años,,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, MooTools, YUI",Masculino,Linux,"Seminarios web, En la universidad o instituto, Cursos en línea",1 a 3 años,1 a 3 años,4 a 6 años,,4 a 6 años,No,1 a 3 años,1 a 3 años,Menos de 1 año
2/28/2011 17:05:43,31 - 40 años,Ayacucho,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,4 a 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,No conozco,No conozco,No conozco,1 a 3 años,,De 5501 a 6500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Linux,Documentación en la web,4 a 6 años,4 a 6 años,4 a 6 años,,Más de 6 años,Sí,4 a 6 años,1 a 3 años,Menos de 1 año
2/28/2011 17:48:45,24 - 30 años,Lima,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,1 año o menos,No conozco,4 a 6 años,4 a 6 años,,De 4501 a 5500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, Prototype, script.aculo.us",Masculino,Windows,Documentación en la web,1 a 3 años,No conozco,1 a 3 años,,4 a 6 años,Sí,1 a 3 años,1 a 3 años,Menos de 1 año
2/28/2011 17:54:38,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,4 a 6 años,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Menos de 1 año,No conozco,1 a 3 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/28/2011 18:15:11,17 - 23 años,Lima,No conozco,No conozco,No conozco,No conozco,Más de 6 años,,1 a 3 años,1 a 3 años,4 a 6 años,Más de 6 años,Más de 6 años,1 a 3 años,No conozco,No conozco,No conozco,1 año o menos,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools",Masculino,Windows,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,Menos de 1 año,No conozco,Menos de 1 año
2/28/2011 18:16:29,24 - 30 años,Arequipa,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Femenino,Windows,Cursos en línea,Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,Menos de 1 año
2/28/2011 18:25:13,31 - 40 años,Amazonas,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,1 año o menos,1 año o menos,Más de 6 años,No conozco,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Linux,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",Más de 6 años,Menos de 1 año,Más de 6 años,,Más de 6 años,No,Menos de 1 año,No conozco,No conozco
2/28/2011 18:33:22,24 - 30 años,Arequipa,No conozco,No conozco,No conozco,4 a 6 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,,Masculino,Windows,Documentación en la web,Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 año o menos,No,No conozco,No conozco,Menos de 1 año
2/28/2011 18:38:35,17 - 23 años,Amazonas,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery",Masculino,Windows,"Seminarios web, Cursos en línea",1 a 3 años,1 a 3 años,1 a 3 años,,1 a 3 años,No,No conozco,No conozco,Menos de 1 año
2/28/2011 18:42:56,24 - 30 años,Lima,Más de 6 años,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,4 a 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,1 año o menos,Más de 6 años,No conozco,No conozco,1 año o menos,,De 3501 a 4500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,Sí,No conozco,No conozco,Menos de 1 año
2/28/2011 18:53:05,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,No conozco,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/28/2011 19:03:35,17 - 23 años,San Martín,1 a 3 años,No conozco,No conozco,1 a 3 años,Menos de 1 año,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,,Femenino,Windows,"En la universidad o instituto, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,1 a 3 años,,1 a 3 años,No,No conozco,No conozco,No conozco
2/28/2011 19:51:45,31 - 40 años,Arequipa,Más de 6 años,1 a 3 años,No conozco,1 a 3 años,Más de 6 años,,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,1 a 3 años,Más de 6 años,No conozco,No conozco,4 a 6 años,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, YUI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,Sí,No conozco,No conozco,1 a 3 años
2/28/2011 21:12:08,17 - 23 años,Junín,Menos de 1 año,No conozco,No conozco,4 a 6 años,1 a 3 años,,1 a 3 años,4 a 6 años,Menos de 1 año,4 a 6 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"dojo, jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, En la universidad o instituto, En grupos de amigos o compañeros de trabajo",1 a 3 años,1 a 3 años,4 a 6 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/28/2011 21:23:34,12 - 16 años,Pasco,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,4 a 6 años,,De 9501 a 10500,Escolar,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI, other",Femenino,Otro,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",4 a 6 años,4 a 6 años,Más de 6 años,,No conozco,Sí,Más de 6 años,Más de 6 años,Más de 6 años
2/28/2011 21:30:44,24 - 30 años,Cusco,4 a 6 años,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,1 a 3 años,4 a 6 años,1 año o menos,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Windows,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año
2/28/2011 23:12:17,31 - 40 años,Lima,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,4 a 6 años,4 a 6 años,Más de 6 años,No conozco,4 a 6 años,4 a 6 años,No conozco,No conozco,No conozco,,De 6501 a 7500,Doctorado,Trabajo como dependiente,,Masculino,Windows,Documentación en la web,No conozco,No conozco,4 a 6 años,,Más de 6 años,No,Menos de 1 año,No conozco,No conozco
2/28/2011 23:21:13,24 - 30 años,Lima,4 a 6 años,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,1 año o menos,Más de 6 años,No conozco,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,En grupos de amigos o compañeros de trabajo,No conozco,No conozco,Menos de 1 año,,Más de 6 años,Sí,No conozco,No conozco,1 a 3 años
2/28/2011 23:29:57,24 - 30 años,Arequipa,4 a 6 años,Menos de 1 año,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,1 a 3 años,1 año o menos,4 a 6 años,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente,dojo,Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,No conozco,,1 año o menos,No,No conozco,No conozco,No conozco
2/28/2011 23:48:01,17 - 23 años,Amazonas,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,No conozco,1 año o menos,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, MooTools",Masculino,Windows,Documentación en la web,No conozco,No conozco,Menos de 1 año,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año
3/1/2011 0:30:20,17 - 23 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,No conozco,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 año o menos,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI, YUI, EasyUI",Masculino,Linux,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Autodidacta",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
