¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
Lima,24 - 30 años,Hombre,Maestría,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 5501 a más,Es igual,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Editor de sombreadores, Canvas, Audio web, Borrador, Accesibilidad","Visual Studio Code, Sublime, Notepad++, IntelliJ, Eclipse, Atom, Vim, Emacs, NetBeans, PhpStorm, WebStorm",Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Play Framework (Java), Spring Boot (Java), Flask (Python), Sinatra (Ruby), Webpy (Python), Bottle (Python), Cuba (Ruby), Express (Node.js), Hapi (Node.js), Laminas (PHP)","Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Play Framework (Java), Spring Boot (Java), Flask (Python), Sinatra (Ruby), Webpy (Python), Bottle (Python), Cuba (Ruby), Express (Node.js), Hapi (Node.js), Laminas (PHP)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, D3.js, Dojo, Zepto.js, Vue.js, Framework7, Sencha, Kendo, Webix","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, D3.js, Dojo, Zepto.js, Vue.js, Framework7, Sencha, Kendo, Webix","SASS, LESS, Stylus, Pug, CoffeeScript, PostCSS","Grunt, Gulp, Brocoli, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis, Apache Cassandra, CouchDB","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure, IBM Cloud, Heroku, Zeit","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, En la universidad o instituto, Comunidades locales de desarrollo, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, Phonegap, React Native, NativeScript, Progressive Web Apps, Quasar Framework (Vue), Flutter, Xamarin, Unity",Sí,"Sí, regularmente (al menos una vez al mes)","Sí, al menos una vez al mes",FRONTEND PERU,No
Lima,31 - 40 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,No,,,No,De 1501 a 2500 soles,Ha aumentado,Backend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,,,"jQuery, AngularJS, Vue.js","AngularJS, Vue.js",SASS,WebPack,Microsoft SQL Server,MongoDB,Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",Android,Xamarin,A veces,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Hakaton,No
Callao,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de memoria / Profiles / Memory","Visual Studio Code, Atom",No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), Django (Python), Symfony (PHP), Spring Boot (Java), Express (Node.js)","Laravel (PHP), Django (Python), Express (Node.js)","jQuery, jQuery UI, AngularJS, React, Ember.js, D3.js, Vue.js","jQuery, jQuery UI, React, D3.js, Vue.js",SASS,WebPack,"MySQL, PostgreSQL",MongoDB,"Una nube privada (implementación a medida), Heroku, Zeit, Digital Ocean ","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Cursos de educación continua (fuera de planes de estudio superior)",Webapps móviles (híbridas para cualquier plataforma),React Native,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Open Lab ,No
Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger",Visual Studio Code,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Spring Boot (Java), Express (Node.js), Hapi (Node.js)",NetCore,"jQuery, AngularJS, React, Ember.js, Vue.js","jQuery, React, Vue.js","SASS, LESS, Stylus",WebPack,"MySQL, Microsoft SQL Server, Oracle Database",Ninguno,"Amazon Web Services, Google Cloud Platform, Microsoft Azure","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),Xamarin,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Sublime,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Laravel (PHP), Spring Boot (Java), Express (Node.js)",,AngularJS,"jQuery, AngularJS",,,"MySQL, Microsoft SQL Server",,,"Documentación en la web, Cursos en línea de plataformas de pago, Seminarios Web / Webinars",,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Frontend Perú,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,No,De 5501 a más,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger","Visual Studio Code, WebStorm",No conozco,No conozco,De 1 a 3 años,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,"Django (Python), Spring Boot (Java), Flask (Python), Bottle (Python), Hapi (Node.js), Laminas (PHP)","Django (Python), Spring Boot (Java), Flask (Python), Bottle (Python), Express (Node.js), Hapi (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, Vue.js, Sencha","React, Angular","SASS, PostCSS",WebPack,"Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis, CouchDB","Amazon Web Services, Google Cloud Platform","Documentación en la web, Cursos en línea de plataformas de pago","Android, iOS","React Native, NativeScript",Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lima,31 - 40 años,Hombre,Graduado de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Ha disminuido,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Django (Python),Django (Python),"jQuery, React",React,SASS,WebPack,"MySQL, PostgreSQL",MongoDB,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, En la universidad o instituto",Webapps móviles (híbridas para cualquier plataforma),React Native,Sí,He hecho alguna contribución alguna vez,"No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 1501 a 2500 soles,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, Notepad++, IntelliJ, PhpStorm",De 1 a 3 años,No conozco,De 4 a 6 años,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java), Express (Node.js)","Laravel (PHP), Spring Boot (Java)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Vue.js","jQuery, jQuery UI, AngularJS, Vue.js",SASS,WebPack,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database, DB2","MongoDB, Apache Cassandra","Amazon Web Services, Microsoft Azure, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, Seminarios Web / Webinars","Android, iOS",Xamarin,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Mujer,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 3501 a 4500 soles,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance",Atom,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,,,,,,,MySQL,,Amazon Web Services,"Documentación en la web, Cursos en línea de plataformas de pago",,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Backend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, Notepad++, Eclipse",No conozco,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,No conozco,Laravel (PHP),Laravel (PHP),"jQuery, jQuery UI","jQuery, jQuery UI",,,"MySQL, Oracle Database",,DigitalOcean,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Android,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Mujer,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Borrador","Visual Studio Code, Notepad++, IntelliJ",Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Spring Boot (Java), Express (Node.js)",Spring Boot (Java),"jQuery, jQuery UI, AngularJS, React","jQuery, jQuery UI, AngularJS",SASS,Gulp,MySQL,,"Microsoft Azure, Heroku","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups","Android, Webapps móviles (híbridas para cualquier plataforma)",Progressive Web Apps,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 4501 a 5500 soles,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage",Sublime,Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,De 4 a 6 años,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,"Laravel (PHP), Spring Boot (Java), Flask (Python), Serverless","Flask (Python), Express (Node.js)","jQuery, jQuery UI, Vue.js, Sencha",Vue.js,SASS,WebPack,"MySQL, Microsoft SQL Server, Oracle Database","Redis, DynamoDB",Amazon Web Services,"Documentación en la web, En la universidad o instituto",,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha disminuido,Backend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de sombreadores","Visual Studio Code, Sublime, Notepad++, Vim, PhpStorm",Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP),,"jQuery, jQuery UI","jQuery, jQuery UI, AngularJS","SASS, LESS",,"MySQL, Microsoft SQL Server, PostgreSQL",,Heroku,"Documentación en la web, Comunidades locales de desarrollo",,,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Nodejs,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Rendimiento / Timeline / Performance, Accesibilidad",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Ruby on Rails, Symfony (PHP), Sinatra (Ruby)",Ruby on Rails,"jQuery, jQuery UI, AngularJS, React, D3.js, Vue.js",React,"SASS, Stylus, Pug",WebPack,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, Heroku, Netlify","Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),"React Native, Progressive Web Apps",Sí,"Sí, de vez en cuando (varias veces al año)","Sí, al menos una vez al mes",LimaJS - Ruby Peru - Tech Talks - OpenTech - Lima Frontend,No
Lima,17 - 23 años,Mujer,Estudiante de universidad,Menos de 1 año,Trabajo como dependiente,,,No,,Sí,Menos de 1500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Spring Boot (Java)",Spring Boot (Java),"jQuery, jQuery UI, AngularJS, React","jQuery, AngularJS, React",Stylus,WebPack,"MySQL, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, IBM Cloud, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Seminarios Web / Webinars",Android,React Native,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 4501 a 5500 soles,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java), Flask (Python), Express (Node.js), Adonis.js, Nest.js","Laravel (PHP), CodeIgniter (PHP), Zend Framework, Express (Node.js), Adonis.js, Nest.js","jQuery, jQuery UI, AngularJS, Backbone.js, React, Vue.js","jQuery, jQuery UI, React",SASS,"Gulp, Brocoli, WebPack","MySQL, PostgreSQL",MongoDB,"Amazon Web Services, Google Cloud Platform, Heroku","Documentación en la web, En la universidad o instituto, Cursos de educación continua (fuera de planes de estudio superior)",,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Frontend Perú,No
Lima,41 - 50 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,No,,,No,De 5501 a más,Es igual,Fullstack,Mac,Inspector / Elements / DOM Explorer,"Visual Studio Code, VS Pro, PyCharm",Más de 6 años,Menos de 1 año,De 1 a 3 años,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Menos de 1 año,De 4 a 6 años,De 4 a 6 años,No conozco,"Node: koa.js, ",,"jQuery, jQuery UI, AngularJS, React, D3.js, Vue.js","AngularJS, React, D3.js",,"Gulp, WebPack","Microsoft SQL Server, PostgreSQL","Redis, Apache Cassandra","Amazon Web Services, Google Cloud Platform, Microsoft Azure, IBM Cloud, Heroku",Documentación en la web,Android,,Sí,He hecho alguna contribución alguna vez,"Sí, de vez en cuando","Docker, AWS, otros",No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,No,,No,De 3501 a 4500 soles,Es igual,Fullstack,GNU/Linux,"Consola, Rendimiento / Timeline / Performance",Visual Studio Code,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,Spring Boot (Java),Spring Boot (Java),"jQuery, AngularJS",jQuery,,WebPack,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",Android,NativeScript,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",mozilla Peru,No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,No,,No,De 5501 a más,Es igual,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola","Visual Studio Code, Sublime",No conozco,No conozco,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), Express (Node.js)","Express (Node.js), Loopback.js","jQuery, AngularJS, Backbone.js, React, Vue.js",Vue.js,"SASS, CoffeeScript",WebPack,MySQL,"MongoDB, Redis","Amazon Web Services, IBM Cloud, Zeit","Libros, revistas y otras publicaciones impresas",,,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,No,,,No,De 3501 a 4500 soles,Ha aumentado,Backend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,"Django (Python), Express (Node.js)",Express (Node.js),"jQuery, Vue.js",Vue.js,,WebPack,MySQL,MongoDB,"Amazon Web Services, Google Cloud Platform, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),,A veces,He hecho alguna contribución alguna vez,"Sí, al menos una vez al mes","LimaJS, Tech Talks, Mozzilla",No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 3501 a 4500 soles,Es igual,Backend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, PhpStorm",Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP)","Laravel (PHP), CodeIgniter (PHP)","jQuery, jQuery UI, React, Vue.js","jQuery, Vue.js",SASS,"Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida)","Documentación en la web, Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de planes de estudio superior)",Android,,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Frontend,Mac,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,,,,,,,MySQL,MongoDB,,"Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",Android,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",LimaJS,No
La Libertad,41 - 50 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha aumentado,Frontend,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, IntelliJ, Atom",Más de 6 años,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,Menos de 1 año,"Play Framework (Java), Spring Boot (Java), Flask (Python), Express (Node.js)","Play Framework (Java), Spring Boot (Java), Express (Node.js)","jQuery, AngularJS, React, D3.js, Vue.js",React,"SASS, LESS",WebPack,"MySQL, Microsoft SQL Server, PostgreSQL","MongoDB, Redis",Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, React Native, Flutter",A veces,He hecho alguna contribución alguna vez,"Sí, al menos una vez al mes",,No
